cluster,size,Computer science,Business,Knowledge management,Engineering,Political science,Economics,Marketing,Psychology,Law,Philosophy,Operating system,Artificial intelligence,Information system,Epistemology,Sociology,Mathematics,World Wide Web,Process management,Biology,Electrical engineering,Programming language,Data science,Social psychology,Finance,Industrial organization,Management science,Process (computing),Context (archaeology),Microeconomics,Paleontology,Computer security,Public relations,Machine learning,Information technology,Physics,Strategic information system,Social science,Management,Soft Systems Methodology,Linguistics,Mechanical engineering,Internet privacy,Neuroscience,Software,Perspective (graphical),Human–computer interaction,Geometry,The Internet,Politics,Quality (philosophy),Quantum mechanics,Advertising,Pure mathematics,Chemistry,Work (physics),Statistics,Social media,Empirical Research,Empirical research,Systems engineering,Software engineering,Service (business),Medicine,Field (mathematics),Value (mathematics),Product (mathematics),Ecology,Set (abstract data type),Telecommunications,Risk analysis (engineering),Engineering management,Database,Economic growth,Operations management,Mathematical analysis,Archaeology,Data mining,Computer network,Geography,Accounting,Task (project management),Cognitive psychology,Engineering ethics,Perception,Art,Anthropology,Order (exchange),Biochemistry,Econometrics,Evolutionary biology,Outsourcing,Operations research,Market economy,Control (management),Key (lock),Incentive,Communication,Cognition,Corporate governance,Macroeconomics
0,1250,1082,968,134,133,226,575,667,339,209,305,163,217,12,258,144,401,490,30,282,25,152,116,194,225,270,9,42,127,406,137,110,28,152,9,99,3,97,52,5,55,39,125,89,62,40,52,254,192,47,142,54,332,34,43,10,70,141,48,48,9,10,118,55,25,70,236,118,59,84,14,2,38,18,7,49,34,30,57,43,62,18,44,2,53,33,12,45,23,83,32,6,30,76,18,24,80,45,29,4,24
1,877,841,660,668,597,233,226,313,95,194,134,402,131,523,89,83,120,69,439,124,432,99,113,30,125,87,194,167,58,25,54,80,81,28,261,50,266,39,122,183,49,67,0,29,14,32,21,24,14,39,30,29,4,40,41,44,29,2,38,38,54,29,21,22,31,17,15,23,38,43,64,115,44,31,97,19,25,12,32,16,40,12,4,13,12,24,14,36,23,5,28,8,44,26,28,49,8,2,8,5,25
10,420,419,114,214,203,68,55,27,94,67,100,67,246,107,73,24,107,52,76,54,99,113,101,21,33,2,98,61,32,3,35,13,2,52,7,28,24,13,23,32,36,13,0,44,23,14,41,16,4,35,23,8,0,20,14,7,42,2,10,10,44,44,2,23,18,3,7,6,27,10,21,21,80,0,25,36,6,83,12,12,7,33,20,3,10,8,5,6,8,6,4,0,45,3,7,7,1,2,34,1,1
11,236,232,66,190,132,50,66,18,146,44,67,88,83,39,60,50,67,20,63,25,35,25,31,90,8,0,37,55,15,12,16,9,9,12,17,15,15,17,32,15,10,46,2,40,15,11,25,5,6,2,29,7,0,35,48,45,17,2,11,11,29,21,2,7,29,3,3,5,7,10,1,21,8,3,14,11,6,7,11,6,2,34,20,10,8,9,10,1,5,0,2,0,12,3,4,4,3,8,21,0,10
12,176,154,129,98,46,99,87,55,50,85,51,41,27,43,38,40,12,19,31,38,23,13,23,18,20,10,13,15,26,18,23,16,49,19,22,17,22,24,14,22,16,8,18,7,2,11,2,2,0,9,22,9,1,7,4,7,0,6,3,3,1,4,23,58,7,11,0,12,2,10,7,8,3,70,8,2,8,2,6,6,3,2,2,3,3,4,4,3,2,4,2,0,4,3,7,3,11,7,2,3,4
13,88,65,80,12,4,42,38,43,36,30,13,9,14,2,10,8,10,21,0,18,1,12,5,24,40,8,0,7,12,14,9,7,19,8,0,4,1,4,4,0,2,2,11,1,0,4,0,7,5,9,5,2,13,1,2,0,3,9,4,4,0,1,2,5,0,3,5,5,7,0,0,0,5,5,0,1,9,1,3,14,2,0,3,0,1,2,0,0,0,3,2,0,0,1,3,0,3,4,0,1,1
14,60,59,53,53,31,17,12,25,4,14,13,23,6,23,9,9,5,0,51,17,21,15,2,2,16,9,5,18,14,3,13,2,3,3,5,7,16,3,8,13,5,4,0,2,4,4,1,2,0,1,1,6,0,0,5,4,2,0,3,3,4,10,2,1,0,1,1,2,0,0,3,6,2,1,6,0,3,0,15,2,1,2,0,0,2,3,1,6,2,0,4,0,1,0,0,2,1,0,0,1,1
2,751,699,389,207,125,299,140,96,315,248,145,104,251,61,94,108,95,196,37,130,35,82,182,210,64,16,33,35,88,32,83,320,122,98,18,93,20,26,53,17,53,27,242,58,9,50,37,12,66,40,11,48,41,29,26,21,25,101,25,25,7,12,25,67,26,21,7,17,35,21,47,5,25,20,8,22,18,70,16,18,27,14,34,9,37,14,16,18,14,9,17,3,9,7,37,23,8,31,20,10,6
3,722,648,373,453,265,151,157,192,456,119,169,167,164,144,129,117,142,113,81,161,127,114,76,265,43,25,38,47,110,23,117,28,58,93,100,83,25,56,67,21,45,78,35,97,21,58,151,24,34,17,39,33,14,50,45,73,55,11,77,77,24,13,53,39,44,14,12,19,26,29,8,12,21,26,28,23,18,16,6,26,22,47,55,2,49,22,29,17,18,23,20,1,1,13,28,8,7,31,33,4,14
4,709,639,126,281,349,335,157,13,192,301,346,110,180,239,328,355,200,36,34,93,106,122,245,58,37,4,245,72,58,9,57,25,76,60,20,90,66,128,24,70,52,54,7,19,8,53,28,24,6,48,30,56,1,110,35,40,58,3,31,31,23,20,3,33,109,33,9,13,42,10,13,11,10,7,15,25,30,13,10,15,10,7,12,146,2,23,32,24,25,35,11,1,26,14,2,13,1,7,8,6,11
