cluster,size,Computer science,Business,Knowledge management,Engineering,Political science,Economics,Marketing,Psychology,Law,Philosophy,Operating system,Artificial intelligence,Information system,Epistemology,Sociology,Mathematics,World Wide Web,Process management,Biology,Electrical engineering,Programming language,Data science,Social psychology,Finance,Industrial organization,Management science,Process (computing),Context (archaeology),Microeconomics,Paleontology,Computer security,Public relations,Machine learning,Information technology,Physics,Strategic information system,Social science,Management,Soft Systems Methodology,Linguistics,Mechanical engineering,Internet privacy,Neuroscience,Software,Perspective (graphical),Human–computer interaction,Geometry,The Internet,Politics,Quality (philosophy),Quantum mechanics,Advertising,Pure mathematics,Chemistry,Work (physics),Statistics,Social media,Empirical Research,Empirical research,Systems engineering,Software engineering,Service (business),Medicine,Field (mathematics),Value (mathematics),Product (mathematics),Ecology,Set (abstract data type),Telecommunications,Risk analysis (engineering),Engineering management,Database,Economic growth,Operations management,Mathematical analysis,Archaeology,Data mining,Computer network,Geography,Accounting,Task (project management),Cognitive psychology,Engineering ethics,Perception,Art,Anthropology,Order (exchange),Biochemistry,Econometrics,Evolutionary biology,Outsourcing,Operations research,Market economy,Control (management),Key (lock),Incentive,Communication,Cognition,Corporate governance,Macroeconomics
-1.0,366,323,244,164,98,150,118,114,128,119,78,85,78,64,57,70,56,68,55,73,43,62,42,79,68,37,24,43,48,34,44,35,66,29,32,41,25,33,30,13,23,23,31,19,20,23,21,18,19,29,17,27,20,15,11,18,14,25,14,14,5,12,15,13,13,11,8,18,17,15,8,7,9,22,8,13,16,6,12,20,8,7,23,5,7,12,11,3,5,8,11,2,4,7,14,9,8,13,8,8,4
0.0,770,672,577,90,67,137,274,416,291,123,204,70,167,8,173,107,275,337,16,181,9,91,92,160,105,77,5,34,92,171,102,57,21,105,3,71,2,72,31,3,37,24,89,76,2,34,44,183,118,24,97,38,263,26,34,3,55,133,36,36,8,0,55,43,19,44,171,56,42,46,8,0,20,8,3,29,23,29,16,29,41,17,40,0,50,19,10,27,17,62,25,0,8,23,11,16,35,44,24,1,11
0.1,59,49,34,3,7,6,56,14,4,6,8,5,10,0,8,2,15,6,0,11,0,11,3,4,13,14,0,2,3,51,3,4,0,10,0,4,0,1,1,0,0,1,0,1,1,1,0,2,3,1,2,4,6,0,2,0,3,1,1,1,0,0,1,1,0,5,1,5,6,3,0,1,0,2,1,1,1,0,1,2,2,0,1,0,0,3,1,3,1,6,3,1,9,4,0,1,5,0,1,0,3
0.3,374,320,322,32,53,77,222,215,29,75,82,81,33,4,67,31,100,131,11,83,16,45,17,23,98,162,2,4,27,166,27,42,5,36,2,20,1,22,18,2,17,12,32,2,58,4,4,64,63,20,39,11,58,4,4,6,11,5,10,10,1,10,58,8,2,20,59,55,10,33,5,1,16,8,3,16,8,1,38,11,18,1,0,0,2,9,1,14,3,12,3,4,13,48,6,6,36,1,0,3,8
0.5,21,18,21,4,2,2,17,14,0,2,5,4,1,0,4,2,6,9,2,4,0,1,0,0,8,17,0,0,3,14,3,3,0,1,4,3,0,2,1,0,1,1,0,0,0,0,0,5,8,1,2,1,2,0,1,0,0,0,1,1,0,0,1,0,0,1,5,2,0,0,0,0,2,0,0,1,2,0,2,1,0,0,0,0,0,2,0,1,1,2,0,1,0,1,0,0,2,0,0,0,1
1.1,780,747,593,603,548,200,202,275,81,165,115,360,113,475,74,75,108,56,406,106,399,85,106,27,113,71,183,144,44,22,42,72,73,23,234,42,249,35,112,171,44,60,0,26,10,25,9,19,10,29,29,25,4,35,38,40,28,1,31,31,53,28,17,20,28,14,13,21,32,35,62,105,43,22,91,17,18,10,28,10,38,10,4,10,12,23,11,32,21,5,22,8,42,22,24,45,7,2,5,3,23
1.2,22,22,6,15,9,1,0,4,6,1,4,13,7,7,3,1,3,8,3,2,7,4,1,0,1,1,1,10,2,0,2,3,0,0,6,2,2,0,0,4,1,0,0,3,0,1,11,0,1,0,0,0,0,2,0,0,1,0,2,2,0,0,0,1,1,0,0,0,2,1,0,6,1,0,0,0,2,0,2,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,2,0,0,3,0,0
1.7,20,19,19,17,11,8,5,13,3,7,3,7,4,8,3,1,2,0,12,5,8,3,1,1,4,8,4,2,5,2,4,0,1,5,5,0,5,1,3,2,1,1,0,0,0,2,0,1,0,5,0,0,0,1,2,1,0,0,2,2,0,0,0,0,0,3,0,0,1,1,0,0,0,1,1,1,2,0,0,1,0,1,0,1,0,1,0,2,2,0,3,0,1,2,1,0,1,0,0,0,1
10.4,409,408,111,210,201,66,54,26,90,65,99,66,240,106,72,24,105,48,75,54,98,108,101,20,33,2,98,61,32,3,35,12,2,50,7,27,24,13,22,32,36,13,0,42,23,13,38,16,3,35,22,7,0,20,14,7,41,2,10,10,44,44,2,23,18,3,7,6,24,9,19,21,78,0,25,35,6,82,11,12,7,32,17,3,9,8,5,6,8,6,4,0,44,3,7,7,1,2,33,1,1
11.0,230,226,63,185,130,44,61,18,143,38,67,87,79,39,60,48,66,20,62,23,35,25,29,88,7,0,33,54,15,10,16,9,8,12,17,14,15,15,31,15,10,46,2,38,15,10,24,5,6,1,29,6,0,34,48,45,17,2,11,11,29,21,2,7,29,3,3,3,7,10,1,21,8,2,14,11,6,7,10,6,2,33,20,10,7,9,10,0,5,0,2,0,11,3,4,4,3,8,20,0,10
