cluster,size,Computer science,Business,Knowledge management,Engineering,Political science,Economics,Marketing,Psychology,Law,Philosophy,Operating system,Artificial intelligence,Information system,Epistemology,Sociology,Mathematics,World Wide Web,Process management,Biology,Electrical engineering,Programming language,Data science,Social psychology,Finance,Industrial organization,Management science,Process (computing),Context (archaeology),Microeconomics,Paleontology,Computer security,Public relations,Machine learning,Information technology,Physics,Strategic information system,Social science,Management,Soft Systems Methodology,Linguistics,Mechanical engineering,Internet privacy,Neuroscience,Software,Perspective (graphical),Human–computer interaction,Geometry,The Internet,Politics,Quality (philosophy),Quantum mechanics,Advertising,Pure mathematics,Chemistry,Work (physics),Statistics,Social media,Empirical Research,Empirical research,Systems engineering,Software engineering,Service (business),Medicine,Field (mathematics),Value (mathematics),Product (mathematics),Ecology,Set (abstract data type),Telecommunications,Risk analysis (engineering),Engineering management,Database,Economic growth,Operations management,Mathematical analysis,Archaeology,Data mining,Computer network,Geography,Accounting,Task (project management),Cognitive psychology,Engineering ethics,Perception,Art,Anthropology,Order (exchange),Biochemistry,Econometrics,Evolutionary biology,Outsourcing,Operations research,Market economy,Control (management),Key (lock),Incentive,Communication,Cognition,Corporate governance,Macroeconomics
-1,2472,2245,1573,1216,802,790,808,746,773,644,538,636,554,434,396,419,440,484,501,472,332,345,339,467,368,304,184,309,280,266,278,391,315,237,228,238,195,181,238,149,161,206,186,151,109,139,125,105,165,115,135,135,111,125,142,165,118,172,100,100,84,112,121,128,112,96,69,121,91,100,85,85,99,145,95,87,80,73,87,76,68,77,82,42,68,68,67,70,54,79,58,11,56,50,65,76,74,63,56,46,58
0.0.0.0,397,330,313,24,22,66,176,247,123,62,106,39,77,3,88,52,166,138,6,94,2,54,46,71,50,61,3,15,48,124,44,28,7,53,0,39,0,40,13,1,18,9,37,22,1,16,7,123,68,13,53,19,156,10,18,1,35,25,20,20,0,0,14,24,7,25,123,39,33,31,8,0,8,5,1,16,15,14,8,16,30,2,14,0,13,8,6,15,9,39,14,0,6,18,4,9,23,15,7,0,6
0.0.0.5,178,166,124,44,22,27,29,97,107,24,54,16,38,4,49,22,49,84,8,41,4,26,6,45,18,5,2,11,26,13,32,15,4,18,2,13,2,14,11,2,7,1,24,44,0,10,32,35,29,5,26,10,43,9,7,1,2,4,12,12,8,0,31,16,5,8,28,5,5,6,0,0,6,0,2,3,3,3,3,6,3,14,21,0,29,5,2,9,4,2,5,0,1,3,7,2,1,22,16,1,1
0.3.2.1,368,315,316,32,53,75,217,211,28,73,81,80,33,4,66,31,100,129,11,82,16,45,16,22,97,158,2,4,27,162,27,41,5,36,2,20,1,22,18,2,17,12,32,2,58,4,4,64,61,20,39,11,56,4,4,6,11,5,10,10,1,10,58,8,2,20,59,54,10,31,5,1,16,8,3,16,8,1,38,11,17,1,0,0,2,9,1,14,3,12,3,4,13,47,6,6,35,1,0,2,8
1.1.0.0,567,552,428,457,434,139,137,176,55,119,81,257,79,392,54,46,86,41,291,78,332,62,90,18,87,41,152,80,32,15,30,56,44,15,183,28,206,22,77,140,29,40,0,22,7,20,5,15,6,18,19,15,4,26,25,25,25,1,26,26,41,18,12,20,20,10,9,11,25,26,53,89,28,11,60,15,16,8,20,6,33,7,3,8,9,17,8,27,17,4,20,8,37,12,20,35,3,0,5,2,12
10.4.0.0,403,402,110,205,198,66,54,26,87,65,99,64,236,104,72,24,104,47,74,52,96,107,100,20,32,2,98,60,30,3,33,12,2,48,7,27,24,13,22,32,36,13,0,40,23,12,35,15,3,35,22,7,0,20,14,7,41,1,10,10,44,42,2,23,18,3,7,6,24,9,19,21,77,0,25,35,6,81,11,12,7,32,16,3,9,8,5,5,8,6,4,0,43,3,7,7,1,2,31,1,1
2.5.2.1,134,132,82,25,12,38,22,27,51,33,26,11,39,10,16,17,19,36,2,26,5,22,27,27,11,3,0,5,18,10,19,76,11,20,1,11,2,4,4,0,11,2,95,13,1,9,1,4,15,1,1,6,8,5,4,2,7,10,6,6,0,0,7,11,4,6,2,3,10,3,2,0,9,3,1,2,0,18,1,0,5,1,3,3,9,3,2,4,1,1,3,0,1,5,9,3,4,7,5,1,0
2.8.0.0,177,152,68,30,27,89,31,9,79,71,35,15,64,8,19,37,18,71,12,21,8,13,46,50,10,1,7,10,12,2,8,28,36,33,2,30,3,5,14,4,15,2,51,10,0,8,13,1,9,23,1,11,24,4,9,2,4,78,4,4,3,1,3,36,3,1,1,4,7,7,11,3,2,10,4,8,7,17,6,11,1,6,10,0,6,7,5,3,4,2,3,0,3,0,4,4,0,8,4,3,2
3.1.3.1,432,392,203,254,148,82,75,104,300,70,94,103,118,68,68,72,87,66,26,116,60,70,52,191,23,18,24,29,78,11,84,19,23,61,73,48,10,35,22,11,29,47,34,72,3,42,96,13,28,10,8,20,11,26,28,42,39,7,47,47,18,6,20,22,22,9,8,16,14,27,4,0,12,13,8,13,13,9,4,18,15,29,46,1,31,18,17,11,16,15,14,1,0,10,23,3,3,23,28,0,8
3.1.3.4,52,52,11,32,6,7,13,4,37,7,9,12,15,1,6,4,10,16,2,9,1,12,6,11,2,0,1,6,6,4,6,1,0,5,1,12,1,1,5,1,2,0,0,5,6,3,19,1,1,0,1,4,2,6,1,0,1,2,3,3,1,1,1,4,5,0,0,3,5,1,0,2,3,1,3,1,0,0,0,2,1,5,7,0,1,3,2,1,1,1,0,0,0,0,1,1,1,2,4,0,0
